src,dst,travelMinutes,weight
12962,22,0.47,0.9766
22,3443,0.49,0.9755
3443,22,0.49,0.9755
22,3620,0.64,0.9678
3620,22,0.64,0.9678
22,1126,2.21,0.8894
1126,22,2.21,0.8894
22,4631,2.22,0.889
4631,22,2.22,0.889
22,1471,2.3,0.8848
1471,22,2.3,0.8848
22,677,2.49,0.8756
677,22,2.49,0.8756
23,11757,0.14,0.9931
11757,23,0.14,0.9931
23,3334,0.35,0.9825
3334,23,0.35,0.9825
23,3634,0.67,0.9665
3634,23,0.67,0.9665
23,4707,0.7,0.9652
4707,23,0.7,0.9652
23,13605,0.74,0.9628
13605,23,0.74,0.9628
23,13154,1.14,0.9432
13154,23,1.14,0.9432
23,11187,1.22,0.9388
11187,23,1.22,0.9388
23,3860,1.26,0.9368
3860,23,1.26,0.9368
24,7698,12.11,0.3945
7698,24,12.11,0.3945
24,7691,23.91,0.0
7691,24,23.91,0.0
25,9761,0.01,0.9997
9761,25,0.01,0.9997
25,11422,0.22,0.9888
11422,25,0.22,0.9888
25,7209,1.21,0.9395
7209,25,1.21,0.9395
25,7901,1.28,0.936
7901,25,1.28,0.936
25,13693,1.62,0.9188
13693,25,1.62,0.9188
25,10551,1.84,0.9079
10551,25,1.84,0.9079
25,6261,2.03,0.8987
6261,25,2.03,0.8987
25,4721,2.23,0.8886
4721,25,2.23,0.8886
26,13687,1.43,0.9287
13687,26,1.43,0.9287
26,11450,1.86,0.9068
11450,26,1.86,0.9068
26,9007,2.18,0.891
9007,26,2.18,0.891
26,9017,2.32,0.8839
9017,26,2.32,0.8839
26,3706,2.93,0.8533
3706,26,2.93,0.8533
26,1285,3.78,0.8111
1285,26,3.78,0.8111
26,13050,4.1,0.7948
13050,26,4.1,0.7948
26,12290,5.45,0.7276
12290,26,5.45,0.7276
27,13379,1.11,0.9444
13379,27,1.11,0.9444
27,2007,2.45,0.8776
2007,27,2.45,0.8776
27,200,2.86,0.857
200,27,2.86,0.857
27,12663,7.73,0.6137
12663,27,7.73,0.6137
27,11858,8.49,0.5754
11858,27,8.49,0.5754
27,11606,9.15,0.5426
11606,27,9.15,0.5426
27,12005,9.35,0.5324
12005,27,9.35,0.5324
27,11282,9.56,0.5222
11282,27,9.56,0.5222
28,3640,0.58,0.9711
3640,28,0.58,0.9711
28,12196,0.81,0.9595
12196,28,0.81,0.9595
28,11771,1.33,0.9336
11771,28,1.33,0.9336
28,104,1.35,0.9324
104,28,1.35,0.9324
28,12123,1.42,0.9288
12123,28,1.42,0.9288
28,12640,1.45,0.9276
12640,28,1.45,0.9276
28,11839,1.47,0.9265
11839,28,1.47,0.9265
28,12154,1.57,0.9213
12154,28,1.57,0.9213
29,10339,0.87,0.9565
10339,29,0.87,0.9565
29,10324,1.61,0.9196
10324,29,1.61,0.9196
29,3287,2.22,0.8892
3287,29,2.22,0.8892
29,10366,2.27,0.8864
10366,29,2.27,0.8864
29,10541,2.35,0.8824
10541,29,2.35,0.8824
29,2724,2.38,0.8812
2724,29,2.38,0.8812
29,1209,2.39,0.8805
